taxon_sciname,year,catch_spp,usd_spp,usd_kg_2014
Ablennes hians,2014,1271.2723720766,1139060.0453806338,0.8960000000000001
Acanthistius brasilianus,2014,5,7315.350995000001,1.4630701990000001
Acanthocybium solandri,2014,4297.317107119115,13769953.34249254,3.204313993882523
Acanthopagrus berda,2014,0.3284314529,828.6325556666998,2.5229999999999997
Acanthopagrus bifasciatus,2014,178.5105580798003,135982.2200933375,0.7617600973077953
Acanthopagrus schlegelii,2014,631.2309992691,1348974.5164163974,2.1370536586105087
Acanthuridae,2014,603.625814321599,1967820.1546884135,3.260000000000001
Acanthurus,2014,2245.0421662995727,6422252.994090333,2.860638027425523
Acanthurus lineatus,2014,205.61944330669988,360551.357076135,1.753488635500001
Acanthurus monroviae,2014,123.1019910351,379373.4194677162,3.081781344702586
Acetes,2014,36770.028912926464,129238870.6538929,3.514788388117343
Acetes japonicus,2014,421903.10023712623,1355155129.2429233,3.212005620440505
Acipenser sturio,2014,8.21115,12013.488864518853,1.4630701990000003
Aequipecten opercularis,2014,14448.995191491327,49224278.97253686,3.4067613920671715
Aethaloperca rogaa,2014,0.2974411865,1105.8863314070002,3.7180000000000004
Aetobatus narinari,2014,70.0004350873,70433.89463094337,1.0061922407068296
Albula vulpes,2014,2.0462973789,1139.5519823022544,0.5568848370000004
Albulidae,2014,0.1299173564400297,43.2624796945299,0.33300000000000013
Alectis alexandrina,2014,1850.4498574513,1371783.8955867435,0.7413245433605845
Alepes djedaba,2014,25.171347468100002,52116.917425908505,2.070485797073716
Alepisaurus ferox,2014,18.3016917884,14319.850832170927,0.7824331759999997
Alepocephalus bairdii,2014,14,20482.982786000004,1.4630701990000001
Alepocephalus rostratus,2014,0.0181600253528163,26.622597167228697,1.466
Allocyttus niger,2014,5.558683008082464,8133.3729271425855,1.4631834402710964
Alopias,2014,8276.510125144916,4664251.4604088785,0.5635529214467324
Alopias superciliosus,2014,1137.3125885937593,332054.15635257197,0.2919638450174401
Alopias vulpinus,2014,2245.9689887958616,1361974.5692558435,0.606408448224409
Alosa,2014,35.70931139846667,111204.4043468001,3.114157064131322
Alosa alosa,2014,8.396484848484848,2032.3832468773346,0.2420516780000002
Alosa fallax,2014,478.99,752298.8759960339,1.5705941167791266
Alosa immaculata,2014,67.27065971827138,82056.12017219503,1.2197906266393843
Alosa pseudoharengus,2014,1562,742026.0912680002,0.47504871400000015
Alosa sapidissima,2014,54.49374436,104589.39276318703,1.9192917277301045
Aluterus,2014,310.57487510429104,976700.138876078,3.1448137540040935
Ambassidae,2014,318.8722319201,909423.605436124,2.8519999999999963
Amblyraja georgiana,2014,0.2615,383.35900000000004,1.466
Amblyraja hyperborea,2014,1.9999999999999996,2926.140398000001,1.4630701990000008
Ammodytes personatus,2014,143274.02894674893,59388839.42489173,0.4145122452511261
Amphiarius phrygiatus,2014,1.8800055101,3538.60432980009,1.8822308289999996
Anadara,2014,68.82499198560001,142261.25843423518,2.0669999999999997
Anarhichadidae,2014,794.7539252367078,2725317.034300832,3.429133154
Anarhichas,2014,699.2102479411099,2311168.637060374,3.305398689258098
Anarhichas denticulatus,2014,7463.254074960918,11223675.350353504,1.5038581344843573
Anarhichas lupus,2014,8725.822108551753,15413420.661901472,1.7664147251862412
Anarhichas minor,2014,5473.207106259549,2638182.260539143,0.4820176195273024
Anchoa nasus,2014,213.25,56922.91079999998,0.2669304140679952
Anguilla anguilla,2014,624.4812796888269,5398209.766493599,8.644309993060922
Anguilla rostrata,2014,311.943017768,2071914.364423647,6.641964225545137
Anguilliformes,2014,6414.765524470887,9780596.57923286,1.5247005587222302
Anodontostoma chacunda,2014,1354.7708652581825,426536.27123576787,0.3148401564972256
Anomura,2014,2.9998791479431133,4389.033781957079,1.463070198999999
Anoplopoma fimbria,2014,4540.125740557019,21282915.452061657,4.687737007356651
Antimora rostrata,2014,160.13714393686763,268118.655196149,1.6743064638510847
Aphanopus carbo,2014,7229.957367925746,19238405.126587275,2.6609292624510616
Aphareus rutilans,2014,8.3826700057,38451.307316145896,4.587
Aphia minuta,2014,60.870000276093016,89057.1280347836,1.463070931999999
Apogonidae,2014,34994.44665567481,64837921.94098842,1.8528060345961808
Apostichopus japonicus,2014,2834.7462035515964,8482002.135623237,2.9921557439591266
Aprion virescens,2014,2.5785052377115245,21253.31495255511,8.242494388500003
Apsilus fuscus,2014,15.7502953745,83608.39511850319,5.308369978499998
Arca,2014,1312.3824741639,2758578.188728165,2.1019620751074224
Archosargus probatocephalus,2014,434.96004592,507456.6796816267,1.1666742369595957
Arctica islandica,2014,1640.2233849522422,2276991.04933772,1.3882200864999972
Arctoscopus japonicus,2014,15977.388811763194,27931009.922059704,1.7481586166004657
Argentina,2014,12900.659306060796,16520860.11887758,1.2806213796465422
Argentina silus,2014,4763.746829173496,3801382.1280978573,0.797981560400722
Argentina sphyraena,2014,1416.5803415611003,509217.6352182865,0.3594696469224741
Argopecten irradians,2014,320.59378155054156,8868459.32947152,27.662605576999965
Argyrops spinifer,2014,22.2322829643,56092.04991892888,2.5229999999999992
Argyrosomus regius,2014,539.1169890704,4607931.018069488,8.547181987373369
Argyrozona argyrozona,2014,544,2875809.1863520006,5.286413945500001
Ariidae,2014,146456.28856770124,56504792.80434589,0.3858133601291272
Ariomma indicum,2014,262.9882422012999,481882.9254705624,1.8323363867412494
Aristaeomorpha foliacea,2014,18.395573771218118,13971.06157468046,0.7594795219999992
Aristeidae,2014,2833.9998283296463,5221960.903256131,1.8426115806555796
Aristeus antennatus,2014,3352.920210660923,7076791.177057309,2.110635127718217
Aristeus varidens,2014,2194.997726823099,1646245.4978101156,0.7499987255990407
Arripis georgianus,2014,130.10579341887748,278649.03742210637,2.1417112190000007
Arripis trutta,2014,2457.085780024585,3909936.852757461,1.5912903344865474
Artemesia longinaris,2014,3104.450811366096,26700492.073346063,8.600713522530146
Ascidiacea,2014,1.000199999999999,1463.362813039799,1.4630701990000001
Aspistor quadriscutis,2014,63.6187181024,119745.11251379765,1.8822308289999998
Asterias rubens,2014,152,222386.67024800007,1.4630701990000003
Atheresthes evermanni,2014,437,55824.21190399996,0.12774419199999992
Atheresthes stomias,2014,30257.12935862579,6263482.236019012,0.2070084759786837
Atherina boyeri,2014,1608.3459741048332,3695169.397240959,2.2974965938517067
Atherinidae,2014,284.3577299541915,487332.53283171635,1.7138008975884813
Atlantoraja cyclophora,2014,0.0682934969,159.28293785364275,2.3323295054999993
Atractoscion nobilis,2014,1.209276272,7270.121829023338,6.011961036
Atrobucca nibe,2014,699.2862516014004,1432758.7110301994,2.0488872872148
Atule mate,2014,5058.375541187905,3995412.21584147,0.7898607336107731
Austroglossus microlepis,2014,291,2868753.315746999,9.858258816999996
Austroglossus pectoralis,2014,209,1855756.8432094995,8.879219345499997
Auxis,2014,29376.711632837094,28521094.26044454,0.9708742971954645
Auxis rochei,2014,8000.516609784548,8849821.600560095,1.1061562686760573
Auxis thazard,2014,205284.44787734098,210738811.48349074,1.02656978481589
Bagre bagre,2014,66.1398913838,124490.54258929979,1.8822308289999992
Balistes capriscus,2014,876.2401358878001,1578203.1820379072,1.8011080723195625
Balistidae,2014,4486.234208205598,5768624.833953167,1.2858501286896697
Bathydraconidae,2014,1.1e-4,0.16093772189000002,1.4630701990000001
Bathylagidae,2014,4055.999995943998,9658275.27476572,2.381231579
Bathyraja brachyurops,2014,1054.1715210355983,1966866.2555107002,1.865793389654928
Bathyraja eatonii,2014,5.83867,8542.384078795329,1.4630701989999997
Bathyraja irrasa,2014,0.66315,970.2350024668501,1.4630701990000001
Bathyraja macloviana,2014,643.2233009708733,941461.0732218279,1.4636613316103415
Bathyraja meridionalis,2014,9.302325581395344,13615.454247538051,1.4636613316103413
Bathyraja murrayi,2014,1.72971,2530.6871539122913,1.4630701990000008
Batoidea,2014,4057.316238815437,4326442.831542529,1.0663311846763184
Batrachoididae,2014,13.604401625788519,47425.66552091303,3.4860530308817763
Belone belone,2014,736.9372388722929,950771.2587231753,1.2901658493715211
Belonidae,2014,0.131103259,438.4490258577132,3.3443030264999987
Benthodesmus,2014,38.116683483994066,87241.90611508687,2.2888115686067345
Berycidae,2014,727.9211956206544,23743401.956754975,32.61809396346868
Beryx,2014,1989.993847371385,5931558.99270407,2.980692126530523
Beryx decadactylus,2014,29.578581561318217,408512.24398527096,13.811082966855594
Beryx splendens,2014,74.89241249348589,324276.9394634503,4.329903773518522
Bivalvia,2014,160597.89937030745,763011234.5546498,4.751066094552673
Bohadschia marmorata,2014,168,180935.99999999994,1.0769999999999995
Bolbometopon muricatum,2014,3.0558280634,13500.6483841012,4.418
