taxon_sciname,taxa_group,redlist_category,catch_spp_tot,catch_spp_mean,catch_spp_std,usd_spp_tot,usd_kg_mean,usd_kg_std,prop_thr_catch,prop_thr_usd,class,cites,cms,ram_commonname,taxGroup,stockid
Zearaja chilensis,Chondrichthyan,VU,8850.072627394058,983.3414030437843,192.28995349558548,18012932.3141721,2.033309451031884,0.2900916254331922,0.10954703387926579,0.11025498606301931,NA,NA,NA,Yellownose skate,elasmobranchs,YNOSESKACSCH
Anguilla anguilla,Teleost,CR,8607.559544459844,956.3955049399827,292.4539734520101,85707484.84853601,9.54552007003767,2.2493940628231877,0.10654518406052794,0.5246051771391502,Actinopteri,II,II,NA,NA,NA
Pentanemus quinquarius,Teleost,VU,7288.8833805535,809.8759311726111,270.10721003877217,81315673.79172939,10.525966459703788,2.824565440453836,0.0902224861025379,0.4977234313792631,NA,NA,NA,NA,NA,NA
Mustelus mustelus,Chondrichthyan,VU,6462.511754413348,718.0568616014831,351.53903426421596,16260953.843883837,2.3451542817844335,0.5618950757964591,0.07999358015600047,0.09953133716148173,NA,NA,NA,NA,NA,NA
Sphyrna mokarran,Chondrichthyan,EN,5926.557835969486,658.5064262188318,208.5108673451795,2852866.298123796,0.47739330902907595,0.048596795596743965,0.0733594919927282,0.01746205051199924,Elasmobranchii,II,II,NA,NA,NA
Balistes capriscus,Teleost,VU,5864.700499751649,651.6333888612943,295.08265236508703,10187984.653555216,1.6640502619103434,0.22165978030363614,0.0725938160495318,0.06235942523939986,NA,NA,NA,Gray triggerfish,other marine fish,GTRIGGM
Mustelus schmitti,Chondrichthyan,EN,4855.8559935472,539.5395548385778,220.51442064000696,11853975.684918815,2.612332281593633,0.7452128760170175,0.06010624357944782,0.07255675539866499,NA,NA,NA,NA,NA,NA
Lethrinus mahsena,Teleost,EN,4647.4550086284,516.3838898476,737.3359404763055,17296383.839326724,4.35673994576193,0.7317896952623159,0.0575266365280089,0.10586907927507246,NA,NA,NA,NA,NA,NA
Lamna nasus,Chondrichthyan,VU,3486.2318240361456,387.35909155957177,234.79528202312443,12301235.306899019,3.414452613422643,0.5546594237042615,0.04315290640175414,0.07529437759853197,Elasmobranchii,II,NA,Porbeagle shark,elasmobranchs,PORSHARATL
Lamna nasus,Chondrichthyan,VU,3486.2318240361456,387.35909155957177,234.79528202312443,12301235.306899019,3.414452613422643,0.5546594237042615,0.04315290640175414,0.07529437759853197,Elasmobranchii,II,II,Porbeagle shark,elasmobranchs,PORSHARATL
Epinephelus marginatus,Teleost,VU,3424.282774337428,380.47586381526975,275.2845896169903,41775732.5268901,11.415523342155284,1.8795808999887373,0.042386095220439346,0.25570422001202014,NA,NA,NA,NA,NA,NA
Anguilla rostrata,Teleost,EN,2961.879402016001,329.0977113351112,73.29092773987588,22011244.26226947,7.672622452730586,2.605719752154916,0.0366624226556756,0.13472817124044,NA,NA,NA,NA,NA,NA
Isurus paucus,Chondrichthyan,EN,2724.140867266374,302.68231858515264,75.05643184079867,2845468.365900129,1.0647884097847833,0.17387843140687842,0.033719672644787486,0.017416768661160674,Elasmobranchii,II,II,NA,NA,NA
Isurus paucus,Chondrichthyan,EN,2724.140867266374,302.68231858515264,75.05643184079867,2845468.365900129,1.0647884097847833,0.17387843140687842,0.033719672644787486,0.017416768661160674,Elasmobranchii,II,NA,NA,NA,NA
Dentex dentex,Teleost,VU,2359.649007567495,262.18322306305504,124.31884068640565,41854123.08208641,17.125941511184905,5.345683668879465,0.02920795802003339,0.2561840391452904,NA,NA,NA,NA,NA,NA
Centrophorus lusitanicus,Chondrichthyan,VU,2175.205604358544,310.74365776550627,214.82423411017461,7740093.557298463,3.3166835717464855,0.46484700847690474,0.026924900175107253,0.04737617909189541,NA,NA,NA,NA,NA,NA
Kajikia albida,Teleost,VU,2054.5995330267697,228.2888370029744,29.714565833404073,6022149.3804688975,2.943074129566317,0.7638433554641116,0.02543202684643748,0.036860849995568074,NA,NA,NA,NA,NA,NA
Pseudotolithus senegalensis,Teleost,EN,2009.9279813461999,223.3253312606889,83.25444000588348,2579312.0894360933,1.4053728066373463,0.4463995590427565,0.024879078165514427,0.01578765819539606,NA,NA,NA,NA,NA,NA
Sciades parkeri,Teleost,VU,1937.9248858719004,215.32498731910005,97.98290807278336,2362120.850761423,1.3414249050555553,0.6458952145094963,0.02398781705711179,0.014458256820016146,NA,NA,NA,NA,NA,NA
Carcharhinus obscurus,Chondrichthyan,VU,1885.124525381926,209.4582805979918,30.40552854280036,2879978.8373448504,1.5187591486177021,0.31550166608575103,0.02333424921389107,0.01762800309438909,NA,NA,II,Dusky shark,elasmobranchs,DSKSHARGMATL
Squatina argentina,Chondrichthyan,CR,1822,202.44444444444446,81.11737038253754,2321604.981381,1.2895288270555556,0.21126859939758,0.0225528878836776,0.014210264070365105,NA,NA,NA,NA,NA,NA
Leucoraja fullonica,Chondrichthyan,VU,1774.476101377474,197.16401126416378,131.3005588942161,4187382.246249916,2.0924124471699246,0.628097278277145,0.021964632583222555,0.025630461667675367,NA,NA,NA,Shagreen ray,elasmobranchs,SGRAYVI-VII
Dipturus batis,Chondrichthyan,CR,1764.9749827624746,196.10833141805273,97.09085947224075,2947342.8063472,1.712692215785635,0.7694035440711968,0.02184702684069039,0.018040329823539137,NA,NA,NA,NA,NA,NA
Dalatias licha,Chondrichthyan,VU,1636.252950343163,181.80588337146256,74.06860031769268,1646574.6270245567,0.9724663712577195,0.27622361547493457,0.020253693380036252,0.01007848469021784,NA,NA,NA,Kitefin shark,elasmobranchs,KFSHARNEATL
Carcharhinus dussumieri,Chondrichthyan,EN,1555.790675213,311.1581350426,43.17197374948817,2276230.9727862277,1.4630701989999995,3.8459253727671276e-16,0.019257723747831974,0.013932535236548086,NA,NA,NA,NA,NA,NA
Centrophorus squamosus,Chondrichthyan,VU,1424.5095581077403,158.2788397897489,75.30214550357681,2182373.1768104597,1.4709550045814554,0.890300994218716,0.017632713695516458,0.013358042988049918,NA,NA,NA,Leafscale gulper shark,elasmobranchs,LGSHARNEATL
Limulus polyphemus,Invertebrate,VU,1412.4197171600001,156.9355241288889,47.732599658928564,1841233.220138295,1.3194688720555556,0.09774741305609491,0.01748306450373497,0.011269966459897082,NA,NA,NA,NA,NA,NA
Carcharhinus plumbeus,Chondrichthyan,VU,1356.826856663163,150.75853962924032,267.30655752665695,1040896.8551266824,0.9044865368911142,0.16862367502577258,0.016794930831990677,0.006371204102329284,NA,NA,NA,Sandbar shark,elasmobranchs,SBARSHARATL
Leucoraja circularis,Chondrichthyan,EN,985.1609060203194,109.46232289114661,73.65153670537585,2391728.1710369643,2.3689080916681045,0.7212431152327392,0.012194414632743419,0.014639479656332189,NA,NA,NA,Sandy ray,elasmobranchs,SDRAYVI-VII
Megalops atlanticus,Teleost,VU,962.2694173909339,106.9188241545482,37.9826156486892,864721.970765217,0.8268399595449171,0.3883432068305536,0.01191106162695362,0.005292858884507919,NA,NA,NA,NA,NA,NA
Palinurus elephas,Invertebrate,VU,755.3513613566574,83.9279290396286,45.293714104873736,9729203.32573971,15.492120921017616,11.534129632858322,0.009349810409143766,0.05955128006780695,NA,NA,NA,NA,NA,NA
Mola mola,Teleost,VU,685.0996365407927,76.12218183786585,108.4490906527586,748977.1276710893,1.9295811886839498,1.5372379627072221,0.008480227931971883,0.004584398660507131,NA,NA,NA,NA,NA,NA
Rhomboplites aurorubens,Teleost,VU,637.3546862959398,70.81718736621553,51.90541939874397,2761284.560095152,3.8713971001493115,0.9809917042943631,0.00788923643368213,0.016901489739668412,NA,NA,NA,Vermilion snapper,other marine percoidids,VSNAPGM
Carcharodon carcharias,Chondrichthyan,VU,626.6769789964052,69.63077544404503,78.09104628950897,1404732.7161373752,2.0855172478140376,0.6496615361822204,0.007757066765415866,0.00859819952346898,Elasmobranchii,II,NA,NA,NA,NA
Carcharodon carcharias,Chondrichthyan,VU,626.6769789964052,69.63077544404503,78.09104628950897,1404732.7161373752,2.0855172478140376,0.6496615361822204,0.007757066765415866,0.00859819952346898,Elasmobranchii,II,I/II,NA,NA,NA
Oxynotus centrina,Chondrichthyan,VU,498.78924465808745,62.34865558226093,66.68870020397777,614474.1592023305,1.5058063496311056,0.3391754960621526,0.006174060325114206,0.003761122213601805,NA,NA,NA,NA,NA,NA
Alosa immaculata,Teleost,VU,447.5934226486274,49.732602516514156,12.636410269494359,416742.09493668895,0.9026583751557322,0.2264919768743363,0.005540353610574103,0.002550828097708862,NA,NA,NA,NA,NA,NA
Epinephelus morio,Teleost,VU,392.85894236,49.107367795,59.753244326525824,2011409.097333016,4.41249715648887,1.5129649997624008,0.004862845050024831,0.012311592478421785,NA,NA,NA,Red grouper,other marine percoidids,RGROUPGM
Epinephelus itajara,Teleost,VU,359.1415382360243,39.90461535955826,8.539854361201671,4070493.7642886355,11.85527993589549,3.4492134994934047,0.00444548784094872,0.024915001368108876,NA,NA,NA,Goliath grouper,other marine percoidids,GLGROUPSATLCGM
Squatina squatina,Chondrichthyan,CR,340.37180836565904,37.81908981840656,44.86409054994691,410133.7261953172,1.4341350074713402,0.5348780426123375,0.004213154353916194,0.0025103790697121276,NA,NA,I/II,Angel shark,elasmobranchs,ASHARNEATL
Epinephelus striatus,Teleost,CR,314.4353645802465,34.9372627311385,50.023882129758796,2084269.947248119,8.372374729740233,2.143256908221718,0.003892110605950379,0.01275756495263183,NA,NA,NA,NA,NA,NA
Nebrius ferrugineus,Chondrichthyan,VU,261.34156,29.03795111111111,6.922198132234522,167105.09167965993,0.6419367426111111,0.02872085407957911,0.003234910484097368,0.0010228301107701836,NA,NA,NA,NA,NA,NA
Carcharias taurus,Chondrichthyan,VU,204.5793969511298,22.73104410568109,28.463949678734757,411393.2330295824,4.937355738235669,3.774302538493793,0.002532303075054449,0.0025180883591290944,NA,NA,NA,NA,NA,NA
Pseudotolithus senegallus,Teleost,VU,96.44973362260001,24.112433405650002,17.339436480347477,114111.34114487909,1.1152989800959947,0.14100722020611028,0.0011938639016471284,6.984617555944745e-4,NA,NA,NA,NA,NA,NA
Lutjanus campechanus,Teleost,VU,94.645685664,13.520812237714285,10.899996542680812,349677.4274604442,4.812952431857143,1.9445367316985585,0.001171533225825458,0.0021403333570998158,NA,NA,NA,Red snapper,other marine percoidids,RSNAPGM
Lopholatilus chamaeleonticeps,Teleost,EN,94.432411296,10.492490144,17.608792009260718,515920.7313937189,4.886326233055556,0.8612504950841903,0.0011688932955784953,0.0031578885690190096,NA,NA,NA,Tilefish,other marine percoidids,TILEGM
Tautoga onitis,Teleost,VU,89.501412664,9.944601407111112,4.791338975665021,501009.9103346192,5.752813313166668,0.4734496921774658,0.001107856929331479,0.0030666212317867606,NA,NA,NA,NA,NA,NA
Cetorhinus maximus,Chondrichthyan,VU,78.9485294320811,13.158088238680184,11.164300877179341,219793.1036008646,2.0808596253196456,1.661026256471361,9.772323451498058e-4,0.0013453270767688932,Elasmobranchii,II,NA,Basking shark,elasmobranchs,BSKSHARNEATL
Cetorhinus maximus,Chondrichthyan,VU,78.9485294320811,13.158088238680184,11.164300877179341,219793.1036008646,2.0808596253196456,1.661026256471361,9.772323451498058e-4,0.0013453270767688932,Elasmobranchii,II,I/II,Basking shark,elasmobranchs,BSKSHARNEATL
Mobula mobular,Chondrichthyan,EN,78.9,11.27142857142857,18.516520937234606,41035.5,0.6658571428571428,0.316844035539795,9.766316432613408e-4,2.511733459981624e-4,Elasmobranchii,II,I/II,NA,NA,NA
Raja undulata,Chondrichthyan,EN,77.07370645460001,11.010529493514287,7.880377642349383,198313.61862230266,2.664592357894729,0.2136247038623047,9.540256094676579e-4,0.001213853739965816,NA,NA,NA,Undulate ray,elasmobranchs,URAYVIIde
Hyporthodus niveatus,Teleost,VU,75.15290749670005,8.350323055188895,10.341382791508847,408002.798077545,6.109357649917211,0.9249263031052833,9.302497787626071e-4,0.0024973359157253986,NA,NA,NA,NA,NA,NA
Acipenser sturio,Teleost,CR,74.8886,24.962866666666667,32.570615101435116,105532.63420659308,1.422730277,0.034935397238682914,9.269781556342361e-4,6.459525251470095e-4,Actinopteri,I,I/II,NA,NA,NA
Hyporthodus flavolimbatus,Teleost,VU,72.3861301395,8.042903348833333,9.074813209676446,277921.53865004587,5.836283788267729,2.068251403087635,8.96002347623183e-4,0.0017011242165366482,NA,NA,NA,NA,NA,NA
Mycteroperca interstitialis,Teleost,VU,55.328,13.832,5.120969960206106,163349.95399999997,2.9979999999999993,0.2107241482760492,6.84855203528054e-4,9.998453659593742e-4,NA,NA,NA,NA,NA,NA
Rostroraja alba,Chondrichthyan,EN,53.49033757899999,6.686292197374999,5.76630905521281,144735.24598338816,2.5393418144972766,0.36443441346959726,6.621084447196781e-4,8.859069834049713e-4,NA,NA,NA,NA,NA,NA
Gymnura altavela,Chondrichthyan,VU,50.4495802775,12.612395069375,24.72479013875,70146.00678401737,2.3380690137499998,0.725244714754412,6.244696639830133e-4,4.2935524685580633e-4,NA,NA,NA,NA,NA,NA
Cymatoceps nasutus,Teleost,VU,46,5.111111111111111,1.2692955176439846,197245.01646000007,4.3294413960555564,0.5057887563609784,5.693923395440009e-4,0.0012073129550199421,NA,NA,NA,NA,NA,NA
Plectropomus areolatus,Teleost,VU,27.2578090657,3.0286454517444446,0.39986328439688756,105764.28482722021,3.901888888888889,0.39473644512650596,3.373997320600565e-4,6.473704306553004e-4,NA,NA,NA,NA,NA,NA
Bolbometopon muricatum,Teleost,VU,25.8459164145,2.8717684905,0.3701200404645476,108527.6719095097,4.191111111111112,0.30333333333333345,3.199231916284967e-4,6.642847896797244e-4,NA,NA,NA,NA,NA,NA
Plectropomus pessuliferus,Teleost,VU,23.1616693041,2.5735188115666667,0.2735232416907886,175399.93705267351,7.479222222222223,1.8908335316585774,2.86697327669695e-4,0.0010736018588146134,NA,NA,NA,NA,NA,NA
Rhincodon typus,Chondrichthyan,EN,18.285984,2.031776,1.1128375517783358,11619.817416381184,0.641936742611111,0.028720854079579108,2.2634563501356886e-4,7.112350087997427e-5,Elasmobranchii,II,NA,NA,NA,NA
Rhincodon typus,Chondrichthyan,EN,18.285984,2.031776,1.1128375517783358,11619.817416381184,0.641936742611111,0.028720854079579108,2.2634563501356886e-4,7.112350087997427e-5,Elasmobranchii,II,I/II,NA,NA,NA
Mycteroperca microlepis,Teleost,VU,10.2820532934,1.4688647562,2.039451848426037,84788.50829565551,8.178181131505193,0.5582969156542507,1.272722256531549e-4,5.189802325014376e-4,NA,NA,NA,Gag,other marine percoidids,GAGGM
Alosa aestivalis,Teleost,VU,8.861826903999999,1.4769711506666665,2.6078134669121633,13846.475068331289,1.1969364656666668,0.7464183032737621,1.0969252942396804e-4,8.475260379897659e-5,NA,NA,NA,NA,NA,NA
Acipenser gueldenstaedtii,Teleost,CR,7,1.75,0.9574271077563381,8328.3225175,1.1142686747500001,0.23704794152370273,8.664666036539144e-5,5.097665760798125e-5,Actinopteri,II,II,NA,NA,NA
Acipenser stellatus,Teleost,CR,1.5,0.5,0.4330127018922193,1585.32538275,1.1307356995000002,0.28750758676291427,1.8567141506869594e-5,9.703585453598346e-6,Actinopteri,II,II,NA,NA,NA
Atlantoraja cyclophora,Chondrichthyan,VU,0.3412064264,0.06824128528,8.369293204486673e-4,795.8058157589339,2.3323295054999993,4.965068306494546e-16,4.2234853346813896e-6,4.8710314120449025e-6,NA,NA,NA,NA,NA,NA
