importer_name,n_spp_imports,n_thr_spp_imports
France,351,12
Thailand,359,12
USA,347,12
China Main,365,11
Denmark,333,11
Dominican Rp,211,11
Greece,304,11
Namibia,300,11
Nigeria,308,11
Portugal,325,11
Spain,368,11
Angola,236,10
Ecuador,252,10
Falkland Is,171,10
Ireland,302,10
Italy,353,10
Mauritius,297,10
Mexico,260,10
Morocco,258,10
Netherlands,341,10
South Africa,310,10
Sweden,347,10
UK,338,10
Algeria,230,9
Argentina,234,9
Congo Dem Rep,196,9
Congo Rep,205,9
Croatia,252,9
Cuba,229,9
Egypt,259,9
El Salvador,218,9
Germany,327,9
Ghana,269,9
Guatemala,219,9
Jamaica,192,9
Japan,247,9
Korea Rep,291,9
Madagascar,208,9
Mozambique,186,9
Norway,293,9
Peru,255,9
Romania,261,9
Taiwan,337,9
Tunisia,230,9
Turkey,264,9
Venezuela,213,9
Albania,199,8
Australia,169,8
Austria,233,8
Belgium,292,8
Benin,187,8
Brazil,266,8
Cameroon,222,8
Cyprus,219,8
Georgia,178,8
Honduras,183,8
Hong Kong,253,8
Iceland,277,8
India,210,8
Israel,261,8
Kenya,232,8
Malta,201,8
New Zealand,256,8
Philippines,280,8
Russian Fed,244,8
Tanzania,218,8
Uruguay,243,8
Viet Nam,253,8
Botswana,123,7
Bulgaria,251,7
Canada,271,7
Cayman Is,130,7
Chile,209,7
Colombia,204,7
Cote d'Ivoire,262,7
Fiji,181,7
Gabon,156,7
Gambia,158,7
Indonesia,206,7
Lithuania,244,7
Luxembourg,203,7
Macau,209,7
Panama,210,7
Poland,263,7
Seychelles,216,7
Sri Lanka,172,7
Switzerland,251,7
Togo,166,7
Ukraine,228,7
Zambia,167,7
Antigua Barb,145,6
Bahamas,157,6
Belarus,194,6
Bosnia Herzg,183,6
Burundi,126,6
Cape Verde,170,6
Cent Afr Rep,95,6
Cura̤ao,138,6
Czech Rep,223,6
Estonia,189,6
Ethiopia,87,6
Hungary,220,6
Laos,103,6
Liberia,143,6
Macedonia,159,6
Malawi,115,6
Malaysia,225,6
Moldova Rep,185,6
Mongolia,118,6
Nicaragua,189,6
Saudi Arabia,179,6
Serbia,182,6
Slovenia,227,6
St Pier Mq,113,6
Syria,146,6
Uganda,191,6
Zimbabwe,144,6
Andorra,137,5
Barbados,114,5
Bermuda,87,5
Costa Rica,177,5
Faeroe Is,184,5
Finland,195,5
Grenada,93,5
Haiti,97,5
Jordan,148,5
Kazakhstan,176,5
Latvia,197,5
Lebanon,184,5
Mali,162,5
Mayotte,108,5
New Caledonia,122,5
Paraguay,136,5
Samoa,151,5
Senegal,153,5
Singapore,218,5
Slovakia,220,5
Swaziland,119,5
Tajikistan,83,5
Tonga,126,5
Trinidad Tob,135,5
Turks Caicos,99,5
Armenia,127,4
Aruba,87,4
Azerbaijan,154,4
Brunei Darsm,140,4
Cambodia,103,4
Chad,66,4
Cook Is.,90,4
Dominica,79,4
Eq Guinea,104,4
Eritrea,72,4
Fr Polynesia,167,4
Greenland,112,4
Guyana,101,4
Kuwait,129,4
Kyrgyzstan,141,4
Maldives,115,4
Mauritania,119,4
Nepal,151,4
NethAntilles,127,4
Niger,132,4
Qatar,134,4
Rwanda,102,4
Somalia,78,4
St Kitts Nev,120,4
St Lucia,94,4
St Vincent,101,4
Suriname,120,4
Timor Leste,113,4
Uzbekistan,91,4
Bahrain,122,3
Belize,104,3
Burkina Faso,73,3
Guinea,87,3
Iran,143,3
Lesotho,79,3
Libya,136,3
Montenegro,99,3
Montserrat,59,3
Oman,137,3
Palau,80,3
Papua N Guin,112,3
Sao Tome Prn,55,3
Sierra Leone,104,3
Solomon Is.,69,3
St Helena,77,3
Sudan,126,3
Turkmenistan,83,3
Untd Arab Em,134,3
Yemen,102,3
Djibouti,88,2
GuineaBissau,78,2
Micronesia,78,2
Myanmar,111,2
Bhutan,46,1
Comoros,49,1
Iraq,72,1
Kiribati,59,1
Korea D P Rp,67,1
Marshall Is,76,1
Pakistan,82,1
Tuvalu,45,1
Vanuatu,78,1
