scientificname,commonname,taxGroup,stockid
Eutrigla gurnardus,Grey gurnard,other scorpaenids,GGURNIIIa-IV-VIId
Reinhardtius hippoglossoides,Greenland halibut,pleuronectids,GHAL01ABCDEF
Sparus aurata,Gilthead seabream,other marine percoidids,GHBRMGSA7
Epinephelus itajara,Goliath grouper,other marine percoidids,GLGROUPSATLCGM
Sebastes norvegicus,Golden redfish,sebastids,GOLDREDNEAR
Sebastes carnatus,Gopher rockfish,sebastids,GOPHERSPCOAST
Enteroctopus dofleini,Giant Pacific octopus,cephalopods,GPOCTOBSAI
Seriola dumerili,Greater amberjack,carangids-mackerels,GRAMBERGM
Sebastes elongatus,Greenstriped rockfish,sebastids,GRNSTROCKPCOAST
Aristaeomorpha foliacea,Giant red shrimp,shrimps,GRSHRIMPMEDGSA10
Sebastes chlorostictus,Greenspotted rockfish,sebastids,GRSPROCKNCAL
Argentina silus,Greater silver smelt,forage fish,GSSMELTI-II-IIIa-IV
Kathetostoma giganteum,Giant stargazer,other marine fish,GSTRGZRSTA7
Penaeus semisulcatus,Grooved tiger prawn,shrimps,GTPRAWNNAUST
Balistes capriscus,Gray triggerfish,other marine fish,GTRIGGM
Strongylocentrotus droebachiensis,Green sea urchin,echinoderms,GURCH4RST
Melanogrammus aeglefinus,Haddock,gadids,HAD3LNO
Merluccius merluccius,Hake,gadids,HAKEMEDGSA15-16
Clupea harengus,Herring,forage fish,HERR2224IIIa
Clupea pallasii,Pacific herring,forage fish,HERRCC
Branchiostegus japonicus,Horsehead tilefish,other marine percoidids,HHTILEECS
Trachurus trachurus,Horse mackerel,carangids-mackerels,HMACKIIa-IVa-Vb-VIa-VII-VIII
Illex illecebrosus,Northern shortfin squid,cephalopods,ILLEXNWATLC
Seriola quinqueradiata,Japanese amberjack,carangids-mackerels,JAMBERJPN
Engraulis japonicus,Japanese anchovy,forage fish,JANCHOPJPN
Todarodes pacificus,Japanese flying squid,cephalopods,JCSQUIDJPNAR
Trachurus japonicus,Japanese jack mackerel,carangids-mackerels,JMACKPJPN
Takifugu rubripes,Japanese pufferfish,other marine fish,JPUFFIMKB
Paracaesio caerulea,Japanese snapper,other marine percoidids,JSNAPOKWI
Sebastolobus macrochir,Kichiji rockfish,sebastids,KCROCKNPAC
Hexagrammos decagrammus,Kelp greenling,other scorpaenids,KELPGREENLINGORECOAST
Dalatias licha,Kitefin shark,elasmobranchs,KFSHARNEATL
Genypterus capensis,Kingklip,other marine fish,KINGKLIPSA
Scomberomorus cavalla,King mackerel,carangids-mackerels,KMACKGM
Atheresthes evermanni,Kamchatka flounder,pleuronectids,KMFLOUNBSAI
Laemonema longipes,Longfin codling,gadids,LCODLINGPAC
Dentex macrophthalmus,Large eye dentex,other marine percoidids,LDENTWASG3
Centrophorus squamosus,Leafscale gulper shark,elasmobranchs,LGSHARNEATL
Trichiurus lepturus,Largehead hairtail,other marine fish,LHAIRTSOJECS
Ophiodon elongatus,Lingcod,other scorpaenids,LINGCODNPCOAST
Molva molva,Ling,gadids,LINGI-II
Loligo pealeii,Longfin inshore squid,cephalopods,LISQUIDATLC
Pristipomoides sieboldii,Lavender jobfish,other marine percoidids,LJOBOKWI
Raja rhina,Longnose skate,elasmobranchs,LNOSESKA3CD
Homarus americanus,American lobster,crabs-lobsters,LOBSTERGB
Scyliorhinus canicula,Lesser spotted dogfish,elasmobranchs,LSDOGIIIa-IV-VIId
Leucoraja erinacea,Little skate,elasmobranchs,LSKAT5YCHATT
Microstomus kitt,Lemon sole,pleuronectids,LSOLEIIIa-IV-VIId
Sebastolobus altivelis,Longspine thornyhead,sebastids,LSTHORNHPCOAST
Scomber scombrus,Mackerel,carangids-mackerels,MACKNEICES
Lepidorhombus whiffiagonis,Megrim,pleuronectids,MEG8c9a
Lepidorhombus spp,Megrim spp,pleuronectids,MEGSPPIVa-VIa
Brevoortia patronus,Gulf menhaden,forage fish,MENATGM
Brevoortia tyrannus,Atlantic menhaden,forage fish,MENATLAN
Trachurus mediterraneus,Mediterranean horse mackerel,carangids-mackerels,MHMACKMEDGSA29
Lophius americanus,Monkfish,other marine fish,MONK3LNOPs
Nemadactylus macropterus,Jackass morwong,other marine percoidids,MORWONGESE
Mugil cephalus,Sea mullet,other marine fish,MULLQNSW
Lutjanus analis,Mutton snapper,other marine percoidids,MUTSNAPSATLCGM
Nephrops norvegicus,Norway lobster,crabs-lobsters,NEPHFU10
Trisopterus esmarkii,Norway pout,gadids,NPOUTIIIa-IV
Sebastes polyspinis,Northern rockfish,sebastids,NROCKBSAI
Lepidopsetta polyxystra,Northern rock sole,pleuronectids,NRSOLEEBSAI
Heterocarpus reedi,Nylon shrimp,shrimps,NSHRIMPCSCH
Genypterus blacodes,Ling,other marine fish,NZLINGESE
Chrysophrys auratus,New Zealand snapper,other marine percoidids,NZSNAPNZ1BOP-HAGU
Octopus vulgaris,Octopus,cephalopods,OCTOWA
Paralichthys olivaceus,Japanese flounder,pleuronectids,OFLOUNECS
Zoarces americanus,Ocean pout,other marine fish,OPOUTNWATLC
